Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
LEDs,Indicator,10,7,https://www.aliexpress.com/item/1005003337390606.html?spm=a2g0o.cart.0.0.12d438daRTPLv9&mp=1&pdp_npi=6%40dis%21USD%21USD%206.68%21USD%206.68%21%21USD%206.68%21%21%21%402141131717759137152123058eb796%2112000025287186811%21ct%21PK%212961473668%21%211%210%21,AliExpress
PCB,to assemble the project,1,35,https://cart.jlcpcb.com/quote/gerberviewThree/?qs=edae4f3f128a488bbbc25f9c6c296d6c_1_0_1_0_0.html,AliExpress
IC Base,to solder ICs on PCB or Veroboard,,2,https://www.aliexpress.com/item/32866483409.html?spm=a2g0o.cart.0.0.12d438daRTPLv9&mp=1&pdp_npi=6%40dis%21USD%21USD%202.53%21USD%202.53%21%21USD%202.50%21%21%21%402141131717759137152123058eb796%2165442005257%21ct%21PK%212961473668%21%211%210%21,AliExpress
Potentiometer,Control Senstivity,1,3,https://www.aliexpress.com/item/1005007730415902.html?spm=a2g0o.cart.0.0.12d438daRTPLv9&mp=1&pdp_npi=6%40dis%21USD%21USD%205.09%21USD%203.91%21%21USD%203.87%21%21%21%402141131717759137152123058eb796%2112000042014621765%21ct%21PK%212961473668%21%211%210%21,AliExpress
LDR,Detecting Light level,1,3,https://www.aliexpress.com/item/1005010362917938.html?spm=a2g0o.cart.0.0.12d438daRTPLv9&mp=1&pdp_npi=6%40dis%21USD%21USD%206.96%21USD%203.34%21%21USD%203.31%21%21%21%402141131717759137152123058eb796%2112000052228563358%21ct%21PK%212961473668%21%211%210%21,AliExpress
1kΩ Resistor,For Voltage Divider Bridge,11,2,https://www.aliexpress.com/item/1005009177180559.html?spm=a2g0o.cart.0.0.12d438daRTPLv9&mp=1&pdp_npi=6%40dis%21USD%21USD%202.16%21USD%202.16%21%21USD%202.09%21%21%21%402141131717759137152123058eb796%2112000048205104387%21ct%21PK%212961473668%21%211%210%21,AliExpress
470Ω Resistor,for LEDs,10,2,https://www.aliexpress.com/item/1005009177180559.html?spm=a2g0o.cart.0.0.12d438daRTPLv9&mp=1&pdp_npi=6%40dis%21USD%21USD%202.16%21USD%202.16%21%21USD%202.10%21%21%21%402141131717759137152123058eb796%2112000048205104379%21ct%21PK%212961473668%21%211%210%21,AliExpress
LM324N,Quad OpAmp ICs,6,7,https://www.aliexpress.com/item/1005008583669771.html?spm=a2g0o.cart.0.0.12d438daRTPLv9&mp=1&pdp_npi=6%40dis%21USD%21USD%202.28%21USD%202.28%21%21USD%202.17%21%21%21%402141131717759137152123058eb796%2112000045869429620%21ct%21PK%212961473668%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,AliExpress
